1/SJ1, 1:17, 2:16
2, 1:16, 2:15
3, 1:14, 2:13
4, 1:13, 2:12
5, 1:11, 2:10
6, 1:10, 2:9
7, 1:7, 2:6
8, 1:6, 2:5
9, 1:4, 2:3
10, 1:3, 2:2
11/SJ2, 1:1, 2:20
12, 1:20, 2:19
GS, 1:18, 2:8
S1, 1:15, 2:14
S2, 1:2, 2:1
