Device Pin,Card edge conn
1,T
2,17
3,18
4,V
5,W
6,20
7,X
8,Y
9,22
10,23
11,24
12,1
13,A
14,2
15,B
16,3
17,D
18,E
19,6
20,7
21,H
22,8
23,J
24,10
25,L
26,M
27,N
28,13
29,P
30,R
31,15
32,S
