Device Pin,Card edge conn
1,16
2,T
3,17
4,U
5,18
6,V
7,19
8,W
9,20
10,X
11,21
12,Y
13,22
14,Z
15,23
16,AA
17,24
18,BB
19,1
20,A
21,2
22,B
23,3
24,C
25,4
26,D
27,5
28,E
29,6
30,F
31,7
32,H
33,8
34,J
35,9
36,K
37,10
38,L
39,11
40,M
41,12
42,N
43,13
44,P
45,14
46,R
47,15
48,S
