# Device Label, Input1:Pin1[,Input2:Pin2[,Input3:Pin3[...]]]
OI1, 1:19, 2:20
OI2, 1:1, 2:20
OI3, 1:2, 2:3
OI4, 1:4, 2:3
OI5, 1:5, 2:6
OI6, 1:7, 2:6
OI7, 1:9, 2:10
OI8, 1:11, 2:10
OI9, 1:12, 2:13
OI10, 1:14, 2:13
OI11, 1:15, 2:16
OI12, 1:17, 2:16
Gate, 1:8, 2:18
